B cells,T cells,naive B cells,non-switched memory B cells,class-switched memory B cells,CD8 T cells,CD4 T cells,Th cells,Treg cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,activated Treg cells,naive Treg cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,platelets,CD56+ NKT,eosinophils,neutrophils,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
161.61,154.49,152.85,164.75,192.24,156.27,151.83,151.28,153.36,146.16,152.94,154.88,181.19,153.67,153.11,143.66,156.45,172.04,170.61,125.44,190.77,1479.25,4861.45,125.98,806.06,146.18,120.54,4928.28,5677.85,3007.65,166.55,2608.14,CD13
270.76,160.17,0,232.39,0,160.17,149.99,149.99,0,109.34,0,190.65,0,0,0,144.65,202.22,173.14,0,637.41,139,867.14,292.36,203.54,500.33,0,199.81,154.16,168.26,138.46,0,166.85,CD140a
168.64,163.94,152.93,208.83,177.94,157.6,173.66,174.9,124.88,141.68,212.55,151.41,283.14,124.88,0,185.52,173.45,140.02,155.97,103.03,183.9,528.35,252.12,131.24,135.93,243.04,169.4,206.41,243.87,181.41,111.4,226.62,CD140b
147.6,166.63,170.08,127.29,133.79,149.4,162.05,201.93,137.62,175.7,203.51,125.67,389.62,129.64,0,129.03,0,160.26,144.4,105.16,289.96,420.89,333.57,306.35,157.87,140.81,167.22,479.64,1083.07,1103.82,572.3,1268.57,CD141
182.57,173.52,241.3,142.66,116.04,193.73,175.05,175.05,192.7,196.79,0,0,0,0,192.7,0,0,193.73,0,90.2,395.3,849.17,289.02,126.5,0,0,247.45,192.55,176.69,161.97,108.46,165.51,CD142
128.8,161.47,143.1,161.8,128.2,161.82,160.68,160.74,154.89,130.64,162.43,154.35,178.2,154.89,507.19,174.67,166.74,152.25,174.56,98.16,160.97,510.78,267.13,145.44,0,178.68,125.76,193.33,206.62,159.6,0,179.22,CD143
136.49,137.82,0,0,136.49,155.96,158.84,158.84,0,0,124.58,193.1,0,0,0,0,174.1,137.82,0,777.58,489.88,575.94,289.93,162.46,0,0,0,157.63,0,146.68,173.59,183.54,CD144
199.57,242.26,655.05,153.03,195.89,211.79,246.25,230.84,287,204.32,228.75,222.06,341.82,291.58,185.43,159.05,408.32,211.79,346.53,11680.07,327.86,589.77,395.52,239.7,0,123.93,0,156.61,160.76,149.49,206.07,0,CD146
866.39,620.51,770.03,897.06,1118.37,573.78,679.82,654.04,1017.69,473.98,748.26,691.63,698.49,1167.33,494.9,473.37,641.22,602.71,607.39,658.73,971.33,3160.75,2702.85,992.47,4989.04,1064.43,1286.49,6197.48,7112.4,5296.44,2083.57,5432.09,CD147
721.82,211.96,539.85,1277.14,681,230.91,195.4,190.6,235.84,165.06,188.2,221.66,230.03,257.56,168.73,162.95,223.94,265.33,236.09,1169.59,249.1,1106.37,4223.68,207.73,166.2,392.63,271.39,3963.33,4629.41,3946.21,1689.69,1828.71,CD148
