B cells,naive B cells,non-switched memory B cells,class-switched memory B cells,T cells,CD4 T cells,Th cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,CD8 T cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,Treg cells,naive Treg cells,activated Treg cells,neutrophils,eosinophils,platelets,CD56+ NKT,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
0.001502468,0.000498008,0.004021448,0.001221747,0.000877107,0.000626118,0.000574092,0.000427472,0.000493097,0.000758342,0.001734104,0.000966931,0.000646412,0,0.001085482,0.001226583,0.000821693,0.001324503,0.000702988,0.242584921,0.149263722,0.035570593,0.002890173,0.002088119,0.017751479,0.016129032,0.163942083,0.63997006,0.606060606,0.144766147,0.441176471,0.1,CD111
0.005859947,0.004258339,0.013059701,0.004769475,0.001116695,0.001330323,0.001001717,0.000193986,0.000860659,0.002626642,0.003134796,0.000846024,0.000424088,0.003630705,0.001123175,0.000282965,0.001518372,0,0.002073828,0.142205188,0.288500336,0.096095502,0.004253308,0.001423922,0.015789474,0.025974026,0.001644061,0.331329827,0.5,0.059283388,0,0.016129032,CD112
0.002817894,0.002512563,0.004796163,0.001966568,0.000765596,0.000679744,0.000609418,0.001253133,0.000426257,0.000331785,0.000934579,0.000774593,0.000909918,0.001679261,0.000567967,0.000792864,0.001297578,0,0.001633097,0.537493445,0.040525739,0.001045686,0.002140182,0.000394322,0.03960396,0,0.000902527,0.437078652,0.324324324,0.024369748,0,0.089552239,CD114
0.261869902,0.481737414,0.158505155,0.060119048,0.179912736,0.216645489,0.221085759,0.285822939,0.269027731,0.069383698,0.034157833,0.136224677,0.380550459,0.273837209,0.054856445,0.025243197,0.181740614,0.356037152,0.140170334,0.827169792,0.312640239,0.037919412,0.096013716,0.465715503,0.150943396,0.2,0.142203932,0.949685535,1,0.927818329,0.172413793,0.73255814,CD115
0.006380028,0.00472973,0.006956522,0.007014809,0.004102987,0.004270605,0.004538441,0.003636364,0.003080609,0.003411029,0.026160338,0.003534315,0.002826189,0.003501401,0.005147177,0.002388915,0.002161383,0.005226481,0.001379945,0.988041216,0.905629139,0.007824994,0.003636364,0.003560831,0.336633663,0.02,0.000447828,1,1,0.922556391,0.805555556,0.926267281,CD116
0.002590674,0.003218021,0.004048583,0.001707942,0.003871771,0.005444411,0.005859089,0.00338052,0.007506255,0.00520111,0.003415301,0.001728328,0.001687154,0.003903709,0.002157497,0.000612745,0.002421308,0.003616637,0.00212766,0.006974314,0.115102639,0.003018268,0.001033592,0.001798921,0.02919708,0.301886792,0.003176044,0.06122449,0.183673469,0.02532617,0.033333333,0.135746606,CD117
0.748201439,0.826420891,0.821285141,0.636447734,0.189624594,0.140030084,0.145455515,0.040874945,0.135068913,0.289525304,0.284444444,0.241864407,0.069023977,0.168891856,0.338856016,0.295767951,0.09787234,0.070610687,0.106666667,0.809646998,0.68681672,0.134250291,0.454313425,0.236251287,0.397435897,0.64516129,0.514644351,0.991557943,1,0.932319392,0.9,0.955102041,CD119
0.995816929,0.998217469,0.993730408,0.993865031,0.992365098,0.999083894,0.999106563,0.999485685,0.999768697,0.997011682,0.998496241,0.998040862,0.999794492,0.999392835,0.995301271,0.999556869,0.999102602,0.998637602,0.999605367,0.99978718,0.997466751,0.164004406,0.999619338,0.999719888,1,1,0.999631268,1,1,1,1,1,CD11a
0.038178165,0.014563107,0.034042553,0.063694268,0.021209981,0.013788227,0.013207452,0.010491803,0.010809729,0.014388489,0.027215632,0.02537956,0.016272966,0.013677812,0.02086514,0.039065165,0.015885947,0.030630631,0.011314655,0.998454338,0.94041769,0.014591799,0.056122449,0.005401756,0.486725664,0.454545455,0.543409807,0.960629921,0.934210526,0.219566841,0,0.082987552,CD11b activated
0.001545254,0.001580611,0.001259446,0.001253133,0.000222652,0.000157351,0.00018211,0.000154751,6.60E-05,0,0.001981506,0.000285028,0.000505136,0.000897666,0.000141463,0.000118991,0,0,0,0.10639649,0.009372071,0.001596958,0,0.000390396,0.0078125,0,0.001238646,0.226057906,0.279069767,0.061840121,0,0.016326531,CD120a
0.009612584,0.005498282,0.007207207,0.011466011,0.219212637,0.193501969,0.147286156,0.006317354,0.137597061,0.22685069,0.561184723,0.261984612,0.00388601,0.035665295,0.270820851,0.488928785,0.553191489,0.377535101,0.605286738,0.993066256,0.502308876,0.019674017,0.599689682,0.244415528,0.06779661,0.31372549,0.350169779,0.803030303,0.897435897,0.93921945,0.019607843,0.476973684,CD120b
0.000523834,0,0.001545595,0,0.000191494,0.000248157,0.000203525,0.00033687,0,0.000291715,0.001362398,0.000135802,0.000388878,0,0.000160617,0,0.000296736,0,0.00038432,0.000274993,0.005366726,0.000626436,0.002587322,0.000379075,0.011049724,0,0.000410846,0.004688547,0.032258065,0.01303155,0,0.014652015,CD121a
0.012391574,0.013024602,0.017204301,0.008857396,0.024886394,0.010095726,0.005248879,0.001448855,0.004576043,0.005562273,0.020236088,0.04526404,0.012925969,0.05465288,0.037181004,0.072444444,0.052223371,0.0390625,0.055386488,0.005828495,0.105298013,0.00445084,0.157943492,0.034758024,0.006060606,0.93220339,0.612657263,0.132290185,0.328125,0.114052953,0.094339623,0.345864662,CD122
0.22643297,0.469330332,0.029769959,0.037012113,0.000527993,0.000667579,0.00046908,0.000488599,0.000144425,0.000843645,0.002204262,0.000390235,0.000178731,0,0.00093985,0.000123016,0.001272265,0.002143623,0.001019022,0.020004397,0.094117647,0.002193831,0.001898434,0.00166605,0,0.155555556,0,0.150448585,0.31884058,0.043333333,0.085106383,0.018115942,CD124
0.0061781,0.004396678,0.012587413,0.004270897,0.001164104,0.001209844,0.000568268,0.000472664,0.000500679,0.000257334,0.000719942,0.00107356,0.002299732,0.000551572,0.000923361,0.000396092,0.001575867,0.001068376,0.001175433,0.002221897,0.676190476,0.002055962,0.001756697,0.000915891,0.438016529,0.017241379,0.001563722,0.056168506,0.161290323,0.02245614,0,0.0125,CD125
0.005417385,0.001685393,0.01188455,0.007315289,0.210351616,0.389192856,0.381236913,0.37653282,0.587259615,0.161690496,0.019732206,0.029128551,0.049446975,0.185526316,0.018502331,0.004670169,0.450997398,0.191549296,0.502377179,0.987513663,0.766703176,0.027031487,0.148051097,0.483469094,0.083333333,0.042857143,0.004829123,0.983662355,0.942028986,0.228777845,0.133333333,0.823343849,CD126
0.192919228,0.338439445,0.116714697,0.046670815,0.236937502,0.275973714,0.279766438,0.296646044,0.370589958,0.107018224,0.02972802,0.197754184,0.557601801,0.398406375,0.082600619,0.043413579,0.238715541,0.342902711,0.211656442,0.911148522,0.310126582,0.149274399,0.124357657,0.762231106,0.614173228,0.145454545,0.178758741,0.443601896,0.648148148,0.267857143,0.518518519,0.370044053,CD129
0.005051568,0.000487329,0.007633588,0.010410288,0.423341527,0.593332123,0.606537737,0.980634055,0.631207079,0.193109502,0.037747154,0.222501998,0.807384187,0.224203133,0.036003131,0.013860252,0.479487179,0.917525773,0.345264728,0.019798322,0.108035111,0.771044759,0.169497169,0.718404613,0,0.094339623,0.003684598,0.909806729,0.840909091,0.153256705,0.086956522,0.287162162,CD130
0.055440199,0.007309942,0.055401662,0.110144928,0.003884601,0.005879999,0.002163294,0.001382488,0.001935707,0.002159403,0.006253909,0.001411901,0.000954198,0.003050641,0.001689393,0.001016518,0.035027275,0.004615385,0.043069128,0.99232285,0.99253112,0.006714226,0.006647673,0.0048628,0.9625,0.063829787,0.002356638,0.767123288,0.803921569,0.572734196,0.880952381,0.581967213,CD131
0.00754717,0.003030303,0.012534819,0.011703511,0.045909629,0.054004206,0.052851795,0.02530064,0.069532871,0.048677744,0.031510107,0.036621201,0.032295271,0.063867534,0.040240642,0.029045643,0.063848921,0.018156425,0.078008624,0.026023298,0.041044776,0.001331741,0.042399639,0.070912376,0,0.140350877,0.045454545,0.152542373,0.368421053,0.042089985,0.111111111,0.068292683,CD132
0.003618818,0.002183406,0.003184713,0.00433213,0.021759471,0.04105014,0.04300769,0.001359927,0.065161566,0.048599671,0.004103967,0.001250284,0.000303767,0.003076923,0.001749781,0.000712631,0.026225279,0,0.031655423,0.04634446,0.186487996,0.026533141,0.014522822,0.03349359,0.00952381,0.0625,0.003093581,0.28973607,0.482352941,0.056803995,0.028169014,0.009677419,CD134
0.002716864,0.001874414,0.004705882,0.003171247,0.000662252,0.000789667,0.000735529,0.000131839,0.000363747,0.00086881,0.006145251,0.000476959,0.000744269,0.000917011,0.000514271,0.000212857,0.001284687,0,0.001671682,0.038760018,0.169384534,0.011194179,0.005208333,0.00165538,0.009433962,0.018518519,0.000376932,0.209589041,0.394366197,0.059222702,0.402985075,0.733128834,CD135
0.300209644,0.534653465,0.169405815,0.091122869,0.163259405,0.1938734,0.195566729,0.236437005,0.23143271,0.063624842,0.028014616,0.123251004,0.319052419,0.210475267,0.054471998,0.022259058,0.174290677,0.27002584,0.145198171,0.975229549,0.553562005,0.374766064,0.094794752,0.414927166,0.274418605,0.307692308,0.186166299,0.728075338,0.87012987,0.358974359,0.26,0.512455516,CD137L
0.001707456,0.001313198,0.003745318,0.000849618,0.001962892,0.002723064,0.001171139,0.000501002,0.001113586,0.001588743,0.000733676,0.001202429,0,0,0.002806799,0.000362713,0.017153454,0,0.020168067,0.001840385,0.011695906,0.001423254,0.003537319,0.001321752,0,0,0.000828157,0.027621195,0.086419753,0.009855453,0,0.022151899,CD137
0.001993355,0.000783699,0.004618938,0.002822201,0.000443008,0.000359269,0.000231481,0,0.000258098,0.000251193,0.000739098,0.00065548,0,0.00486618,0.000659631,0.000395023,0.001518987,0,0.001789976,0.000526327,0.0052961,0.000398347,0,0.000437445,0.004484305,0.045454545,0.000879507,0.010161387,0.06097561,0.018296974,0,0.007434944,CD138
0.121981424,0.137957317,0.134502924,0.105851979,0.128561533,0.137380871,0.136769031,0.149323181,0.151780822,0.084564602,0.1,0.117898526,0.214717742,0.146373919,0.085976039,0.075785896,0.143534994,0.143984221,0.143649194,0.999180068,0.99266055,0.416239702,0.047179487,0.305882353,0.981308411,0.046875,0.023103749,0.995375723,1,0.931547619,0.387096774,0.875,CD13
0.001330967,0,0.006587615,0,0.000102449,6.23E-05,7.05E-05,0.000149903,0,0.00022779,0,0.000165091,0.000345781,0.000560224,0.000136986,0,0,0,0,0.000283437,0.006449012,0.001071556,0.003273322,0.000152277,0.003115265,0,0.000733676,0.007933194,0.067961165,0.014035088,0,0.018575851,CD140a
0.021048287,0.02440239,0.024970273,0.015081206,0.003405372,0.002891669,0.002820292,0.00360023,0.003052219,0.001531394,0.001796407,0.004153686,0.006521366,0.005904455,0.002915452,0.003319597,0.002578058,0,0.003295496,0.077384435,0.253839935,0.026794763,0.03902439,0.007277795,0.012944984,0.363636364,0.074733096,0.342398573,0.5,0.09586682,0.041666667,0.327868852,CD140b
0.003594139,0.002470661,0.004123711,0.004314064,0.002607162,0.003029844,0.00279968,0.003017502,0.002243336,0.00226398,0.0072,0.002029907,0.00163332,0,0.002167518,0.002431477,0.005306319,0,0.005810575,0.250826213,0.037761758,0.177861365,0.00627205,0.001927154,0.005405405,0.097560976,0.002154244,0.950340408,0.992647059,0.949019608,0.932432432,0.933534743,CD141
0.003002001,0.002304147,0.008988764,0.001002004,0.000161616,0.000213402,0.000129904,0.000319795,0,0,0,6.81E-05,0,0,0.000175562,0,0.000693722,0.003891051,0,0.001189061,0.014194139,0.000375859,0.000820681,0.000806127,0,0,0.000431034,0.01940133,0.189473684,0.012491782,0.015625,0.009677419,CD142
0.002147651,0.001319261,0.004909984,0.001459854,0.040510907,0.051344143,0.057584102,0.001195559,0.075191225,0.099940688,0.007117438,0.025503356,0.007219512,0.131130614,0.028007638,0.004587775,0.004387339,0.003169572,0.004780876,0.06514658,0.25242047,0.024170765,0.010600707,0.043841336,0,0.053571429,0.000464253,0.215733982,0.310810811,0.100737101,0,0.062222222,CD143
0.000316356,0,0,0.001010101,0.000114956,8.73E-05,9.90E-05,0,0.00011722,0.000203252,0,0.000112372,0,0.0013947,0.000134789,0,0,0,0,0.00091671,0.004314995,0.00037278,0.000745712,0.000886525,0,0,0,0.000481928,0,0.011118378,0.015151515,0.004739336,CD144
0.005636979,0.000627353,0.003984064,0.014225941,0.021251011,0.034734689,0.027792122,0.000655165,0.02883007,0.061177553,0.002199413,0.006559332,0.011363636,0.002790698,0.009074131,0.002238209,0.095435685,0.012437811,0.113323124,0.00011377,0.003476246,0.000378263,0.020916778,0.027444254,0,0.047619048,0,0.003478261,0.0125,0.008660893,0.024691358,0,CD146
0.998547115,0.997702206,1,0.999372647,0.970189331,0.985782591,0.984733097,0.995746022,0.994455415,0.95936241,0.972743792,0.979112945,0.990790791,0.994238683,0.961696628,0.991121124,0.995066297,0.993464052,0.995743034,0.99973991,0.994586234,0.997762776,1,0.999838449,0.989795918,1,1,1,1,1,1,1,CD147
0.69497523,0.835093897,0.947443182,0.4686549,0.669496021,0.605701906,0.580374527,0.513657957,0.555747016,0.717306622,0.778210117,0.747194666,0.461551433,0.768962511,0.89009009,0.82025463,0.814792723,0.659186536,0.859737249,0.999369555,0.992565056,0.997820069,0.801571709,0.663940965,0.348837209,0.918367347,0.774624374,0.998972251,0.974358974,0.979041916,0.96875,0.963414634,CD148
